customerId,accountId,balance
IND0325,ACC0001,687
IND0221,ACC0002,589
IND0147,ACC0003,194
IND0284,ACC0004,809
IND0458,ACC0005,634
IND0093,ACC0006,259
IND0516,ACC0007,549
IND0091,ACC0008,151
IND0487,ACC0009,4
IND0473,ACC0010,824
IND0096,ACC0011,830
IND0331,ACC0012,557
IND0126,ACC0013,276
IND0213,ACC0014,558
IND0318,ACC0015,504
IND0196,ACC0016,774
IND0445,ACC0017,205
IND0295,ACC0018,921
IND0450,ACC0019,347
IND0507,ACC0020,144
IND0456,ACC0021,498
IND0385,ACC0022,215
IND0350,ACC0023,352
IND0407,ACC0024,761
IND0062,ACC0025,285
IND0038,ACC0026,296
IND0437,ACC0027,116
IND0253,ACC0028,543
IND0300,ACC0029,640
IND0332,ACC0030,743
IND0286,ACC0031,343
IND0373,ACC0032,560
IND0500,ACC0033,679
IND0426,ACC0034,856
IND0103,ACC0035,657
IND0446,ACC0036,995
IND0386,ACC0037,776
IND0432,ACC0038,455
IND0051,ACC0039,191
IND0437,ACC0040,274
IND0450,ACC0041,884
IND0491,ACC0042,125
IND0314,ACC0043,321
IND0540,ACC0044,172
IND0454,ACC0045,625
IND0450,ACC0046,52
IND0041,ACC0047,783
IND0467,ACC0048,942
IND0168,ACC0049,696
IND0007,ACC0050,784
IND0069,ACC0051,869
IND0006,ACC0052,57
IND0537,ACC0053,775
IND0073,ACC0054,891
IND0409,ACC0055,621
IND0418,ACC0056,234
IND0261,ACC0057,674
IND0361,ACC0058,425
IND0008,ACC0059,862
IND0025,ACC0060,33
IND0008,ACC0061,605
IND0138,ACC0062,4
IND0473,ACC0063,135
IND0050,ACC0064,39
IND0007,ACC0065,701
IND0186,ACC0066,81
IND0086,ACC0067,935
IND0431,ACC0068,974
IND0381,ACC0069,772
IND0252,ACC0070,764
IND0107,ACC0071,315
IND0261,ACC0072,557
IND0137,ACC0073,558
IND0407,ACC0074,931
IND0366,ACC0075,945
IND0018,ACC0076,837
IND0119,ACC0077,477
IND0464,ACC0078,893
IND0545,ACC0079,739
IND0330,ACC0080,237
IND0368,ACC0081,986
IND0353,ACC0082,721
IND0214,ACC0083,758
IND0420,ACC0084,19
IND0214,ACC0085,696
IND0093,ACC0086,373
IND0144,ACC0087,969
IND0270,ACC0088,522
IND0223,ACC0089,790
IND0308,ACC0090,705
IND0197,ACC0091,590
IND0229,ACC0092,919
IND0216,ACC0093,321
IND0100,ACC0094,583
IND0522,ACC0095,785
IND0257,ACC0096,55
IND0498,ACC0097,989
IND0346,ACC0098,220
IND0059,ACC0099,260
IND0095,ACC0100,396
IND0302,ACC0101,106
IND0287,ACC0102,587
IND0289,ACC0103,824
IND0147,ACC0104,741
IND0169,ACC0105,438
IND0535,ACC0106,262
IND0481,ACC0107,798
IND0020,ACC0108,327
IND0331,ACC0109,801
IND0204,ACC0110,337
IND0115,ACC0111,332
IND0262,ACC0112,923
IND0471,ACC0113,310
IND0018,ACC0114,114
IND0215,ACC0115,172
IND0004,ACC0116,965
IND0055,ACC0117,148
IND0049,ACC0118,728
IND0379,ACC0119,20
IND0393,ACC0120,648
IND0315,ACC0121,616
IND0216,ACC0122,919
IND0263,ACC0123,544
IND0406,ACC0124,390
IND0292,ACC0125,853
IND0294,ACC0126,724
IND0338,ACC0127,143
IND0238,ACC0128,97
IND0190,ACC0129,844
IND0401,ACC0130,229
IND0517,ACC0131,408
IND0121,ACC0132,387
IND0194,ACC0133,560
IND0461,ACC0134,774
IND0235,ACC0135,317
IND0456,ACC0136,62
IND0421,ACC0137,685
IND0253,ACC0138,326
IND0477,ACC0139,477
IND0534,ACC0140,859
IND0014,ACC0141,377
IND0049,ACC0142,606
IND0465,ACC0143,27
IND0403,ACC0144,758
IND0027,ACC0145,970
IND0005,ACC0146,378
IND0392,ACC0147,733
IND0263,ACC0148,220
IND0442,ACC0149,409
IND0469,ACC0150,19
IND0020,ACC0151,497
IND0109,ACC0152,199
IND0511,ACC0153,47
IND0038,ACC0154,574
IND0002,ACC0155,323
IND0055,ACC0156,137
IND0074,ACC0157,560
IND0457,ACC0158,90
IND0526,ACC0159,819
IND0187,ACC0160,149
IND0449,ACC0161,644
IND0232,ACC0162,968
IND0391,ACC0163,614
IND0507,ACC0164,505
IND0105,ACC0165,865
IND0054,ACC0166,203
IND0064,ACC0167,631
IND0464,ACC0168,266
IND0354,ACC0169,307
IND0235,ACC0170,284
IND0466,ACC0171,652
IND0265,ACC0172,664
IND0052,ACC0173,576
IND0305,ACC0174,135
IND0063,ACC0175,205
IND0177,ACC0176,478
IND0233,ACC0177,868
IND0536,ACC0178,420
IND0176,ACC0179,414
IND0365,ACC0180,417
IND0524,ACC0181,733
IND0031,ACC0182,833
IND0358,ACC0183,32
IND0489,ACC0184,562
IND0483,ACC0185,600
IND0190,ACC0186,133
IND0141,ACC0187,793
IND0209,ACC0188,237
IND0285,ACC0189,352
IND0548,ACC0190,568
IND0383,ACC0191,683
IND0289,ACC0192,878
IND0339,ACC0193,44
IND0448,ACC0194,178
IND0048,ACC0195,808
IND0349,ACC0196,649
IND0034,ACC0197,60
IND0310,ACC0198,841
IND0391,ACC0199,669
IND0244,ACC0200,869
IND0005,ACC0201,34
IND0020,ACC0202,712
IND0440,ACC0203,944
IND0255,ACC0204,504
IND0472,ACC0205,659
IND0534,ACC0206,140
IND0401,ACC0207,781
IND0447,ACC0208,276
IND0158,ACC0209,920
IND0043,ACC0210,615
IND0279,ACC0211,638
IND0360,ACC0212,902
IND0319,ACC0213,853
IND0020,ACC0214,224
IND0241,ACC0215,374
IND0312,ACC0216,36
IND0078,ACC0217,782
IND0240,ACC0218,71
IND0171,ACC0219,595
IND0248,ACC0220,154
IND0171,ACC0221,27
IND0158,ACC0222,18
IND0131,ACC0223,437
IND0106,ACC0224,805
IND0379,ACC0225,650
IND0056,ACC0226,488
IND0266,ACC0227,803
IND0283,ACC0228,653
IND0136,ACC0229,252
IND0244,ACC0230,268
IND0258,ACC0231,398
IND0158,ACC0232,906
IND0153,ACC0233,586
IND0513,ACC0234,890
IND0003,ACC0235,631
IND0308,ACC0236,926
IND0349,ACC0237,953
IND0167,ACC0238,889
IND0109,ACC0239,662
IND0310,ACC0240,158
IND0422,ACC0241,58
IND0218,ACC0242,919
IND0122,ACC0243,334
IND0493,ACC0244,415
IND0217,ACC0245,135
IND0188,ACC0246,467
IND0127,ACC0247,898
IND0491,ACC0248,536
IND0148,ACC0249,20
IND0185,ACC0250,685
IND0464,ACC0251,450
IND0191,ACC0252,393
IND0469,ACC0253,650
IND0415,ACC0254,758
IND0423,ACC0255,639
IND0495,ACC0256,321
IND0441,ACC0257,534
IND0437,ACC0258,737
IND0148,ACC0259,286
IND0312,ACC0260,138
IND0427,ACC0261,374
IND0002,ACC0262,60
IND0491,ACC0263,838
IND0312,ACC0264,875
IND0186,ACC0265,635
IND0263,ACC0266,207
IND0060,ACC0267,727
IND0072,ACC0268,73
IND0112,ACC0269,263
IND0550,ACC0270,937
IND0019,ACC0271,936
IND0103,ACC0272,729
IND0419,ACC0273,658
IND0402,ACC0274,622
IND0220,ACC0275,534
IND0103,ACC0276,551
IND0472,ACC0277,244
IND0300,ACC0278,801
IND0503,ACC0279,19
IND0465,ACC0280,667
IND0424,ACC0281,797
IND0172,ACC0282,215
IND0007,ACC0283,257
IND0225,ACC0284,500
IND0394,ACC0285,917
IND0380,ACC0286,638
IND0272,ACC0287,740
IND0372,ACC0288,480
IND0283,ACC0289,106
IND0409,ACC0290,943
IND0235,ACC0291,424
IND0446,ACC0292,452
IND0047,ACC0293,813
IND0446,ACC0294,838
IND0071,ACC0295,973
IND0274,ACC0296,871
IND0260,ACC0297,934
IND0118,ACC0298,21
IND0499,ACC0299,835
IND0474,ACC0300,319
IND0546,ACC0301,513
IND0038,ACC0302,601
IND0374,ACC0303,21
IND0530,ACC0304,71
IND0493,ACC0305,9
IND0503,ACC0306,797
IND0392,ACC0307,706
IND0085,ACC0308,884
IND0454,ACC0309,580
IND0224,ACC0310,943
IND0157,ACC0311,771
IND0412,ACC0312,849
IND0093,ACC0313,170
IND0137,ACC0314,311
IND0476,ACC0315,53
IND0213,ACC0316,145
IND0206,ACC0317,922
IND0224,ACC0318,819
IND0495,ACC0319,683
IND0019,ACC0320,365
IND0420,ACC0321,648
IND0494,ACC0322,458
IND0106,ACC0323,138
IND0191,ACC0324,348
IND0109,ACC0325,914
IND0515,ACC0326,186
IND0120,ACC0327,971
IND0511,ACC0328,360
IND0141,ACC0329,501
IND0451,ACC0330,11
IND0130,ACC0331,522
IND0046,ACC0332,832
IND0433,ACC0333,110
IND0122,ACC0334,285
IND0472,ACC0335,92
IND0534,ACC0336,32
IND0436,ACC0337,995
IND0143,ACC0338,775
IND0258,ACC0339,222
IND0182,ACC0340,199
IND0309,ACC0341,233
IND0009,ACC0342,675
IND0494,ACC0343,728
IND0411,ACC0344,156
IND0313,ACC0345,365
IND0176,ACC0346,432
IND0037,ACC0347,308
IND0310,ACC0348,865
IND0171,ACC0349,760
IND0132,ACC0350,778
IND0268,ACC0351,604
IND0264,ACC0352,226
IND0091,ACC0353,44
IND0183,ACC0354,137
IND0325,ACC0355,783
IND0299,ACC0356,846
IND0268,ACC0357,72
IND0518,ACC0358,658
IND0208,ACC0359,969
IND0327,ACC0360,994
IND0011,ACC0361,947
IND0246,ACC0362,812
IND0335,ACC0363,512
IND0252,ACC0364,40
IND0066,ACC0365,218
IND0271,ACC0366,199
IND0441,ACC0367,303
IND0399,ACC0368,136
IND0480,ACC0369,249
IND0362,ACC0370,283
IND0108,ACC0371,966
IND0334,ACC0372,816
IND0199,ACC0373,789
IND0214,ACC0374,827
IND0122,ACC0375,641
IND0489,ACC0376,762
IND0307,ACC0377,628
IND0314,ACC0378,75
IND0448,ACC0379,917
IND0363,ACC0380,931
IND0436,ACC0381,869
IND0243,ACC0382,231
IND0093,ACC0383,25
IND0452,ACC0384,5
IND0142,ACC0385,269
IND0214,ACC0386,564
IND0235,ACC0387,861
IND0104,ACC0388,491
IND0216,ACC0389,645
IND0239,ACC0390,619
IND0351,ACC0391,304
IND0448,ACC0392,512
IND0453,ACC0393,875
IND0542,ACC0394,883
IND0201,ACC0395,543
IND0510,ACC0396,85
IND0544,ACC0397,593
IND0156,ACC0398,981
IND0519,ACC0399,169
IND0445,ACC0400,163
IND0147,ACC0401,33
IND0475,ACC0402,441
IND0212,ACC0403,695
IND0360,ACC0404,676
IND0281,ACC0405,875
IND0491,ACC0406,585
IND0092,ACC0407,334
IND0502,ACC0408,348
IND0452,ACC0409,598
IND0499,ACC0410,435
IND0239,ACC0411,230
IND0038,ACC0412,656
IND0547,ACC0413,775
IND0199,ACC0414,387
IND0507,ACC0415,244
IND0342,ACC0416,989
IND0512,ACC0417,352
IND0323,ACC0418,993
IND0097,ACC0419,36
IND0316,ACC0420,879
IND0182,ACC0421,507
IND0390,ACC0422,970
IND0333,ACC0423,704
IND0112,ACC0424,258
IND0134,ACC0425,149
IND0121,ACC0426,697
IND0222,ACC0427,628
IND0340,ACC0428,432
IND0449,ACC0429,957
IND0137,ACC0430,362
IND0106,ACC0431,506
IND0100,ACC0432,445
IND0224,ACC0433,725
IND0276,ACC0434,280
IND0162,ACC0435,955
IND0299,ACC0436,576
IND0103,ACC0437,564
IND0408,ACC0438,333
IND0057,ACC0439,315
IND0013,ACC0440,352
IND0250,ACC0441,219
IND0116,ACC0442,230
IND0234,ACC0443,304
IND0434,ACC0444,523
IND0476,ACC0445,355
IND0392,ACC0446,115
IND0071,ACC0447,845
IND0034,ACC0448,77
IND0527,ACC0449,196
IND0005,ACC0450,329
IND0529,ACC0451,561
IND0345,ACC0452,543
IND0219,ACC0453,636
IND0517,ACC0454,290
IND0535,ACC0455,125
IND0278,ACC0456,167
IND0342,ACC0457,843
IND0018,ACC0458,442
IND0512,ACC0459,496
IND0119,ACC0460,792
IND0078,ACC0461,140
IND0335,ACC0462,711
IND0472,ACC0463,40
IND0507,ACC0464,309
IND0062,ACC0465,157
IND0046,ACC0466,391
IND0174,ACC0467,673
IND0328,ACC0468,299
IND0025,ACC0469,759
IND0419,ACC0470,542
IND0192,ACC0471,279
IND0339,ACC0472,263
IND0230,ACC0473,497
IND0522,ACC0474,950
IND0210,ACC0475,927
IND0025,ACC0476,686
IND0180,ACC0477,312
IND0020,ACC0478,910
IND0508,ACC0479,29
IND0413,ACC0480,103
IND0037,ACC0481,56
IND0217,ACC0482,245
IND0357,ACC0483,276
IND0338,ACC0484,973
IND0405,ACC0485,257
IND0003,ACC0486,400
IND0131,ACC0487,170
IND0538,ACC0488,287
IND0512,ACC0489,301
IND0121,ACC0490,749
IND0440,ACC0491,802
IND0385,ACC0492,109
IND0451,ACC0493,536
IND0309,ACC0494,351
IND0376,ACC0495,665
IND0085,ACC0496,673
IND0407,ACC0497,204
IND0081,ACC0498,55
IND0192,ACC0499,865
IND0029,ACC0500,44
IND0504,ACC0501,340
IND0541,ACC0502,184
IND0338,ACC0503,730
IND0433,ACC0504,916
IND0119,ACC0505,101
IND0373,ACC0506,461
IND0131,ACC0507,278
IND0428,ACC0508,360
IND0219,ACC0509,429
IND0283,ACC0510,861
IND0274,ACC0511,275
IND0401,ACC0512,380
IND0223,ACC0513,746
IND0028,ACC0514,296
IND0087,ACC0515,808
IND0125,ACC0516,707
IND0084,ACC0517,264
IND0340,ACC0518,670
IND0369,ACC0519,201
IND0326,ACC0520,837
IND0119,ACC0521,871
IND0513,ACC0522,229
IND0285,ACC0523,227
IND0176,ACC0524,914
IND0132,ACC0525,832
IND0061,ACC0526,742
IND0407,ACC0527,333
IND0065,ACC0528,291
IND0220,ACC0529,146
IND0423,ACC0530,725
IND0107,ACC0531,84
IND0035,ACC0532,768
IND0012,ACC0533,192
IND0451,ACC0534,176
IND0525,ACC0535,528
IND0269,ACC0536,274
IND0279,ACC0537,97
IND0186,ACC0538,321
IND0046,ACC0539,89
IND0003,ACC0540,53
IND0155,ACC0541,928
IND0418,ACC0542,393
IND0400,ACC0543,721
IND0211,ACC0544,423
IND0060,ACC0545,465
IND0031,ACC0546,208
IND0214,ACC0547,802
IND0462,ACC0548,727
IND0179,ACC0549,936
IND0162,ACC0550,28
IND0188,ACC0551,707
IND0530,ACC0552,610
IND0035,ACC0553,17
IND0329,ACC0554,665
IND0478,ACC0555,716
IND0162,ACC0556,424
IND0539,ACC0557,754
IND0093,ACC0558,448
IND0366,ACC0559,441
IND0550,ACC0560,432
IND0072,ACC0561,401
IND0361,ACC0562,339
IND0286,ACC0563,617
IND0395,ACC0564,92
IND0203,ACC0565,79
IND0199,ACC0566,483
IND0524,ACC0567,257
IND0322,ACC0568,399
IND0108,ACC0569,222
IND0020,ACC0570,244
IND0460,ACC0571,798
IND0330,ACC0572,100
IND0164,ACC0573,885
IND0172,ACC0574,400
IND0493,ACC0575,939
IND0295,ACC0576,653
IND0113,ACC0577,531
IND0158,ACC0578,601
IND0335,ACC0579,300
IND0374,ACC0580,987
IND0482,ACC0581,62
IND0057,ACC0582,825
IND0064,ACC0583,509
IND0525,ACC0584,383
IND0166,ACC0585,114
IND0266,ACC0586,541
IND0212,ACC0587,673
IND0374,ACC0588,54
IND0291,ACC0589,971
IND0162,ACC0590,859
IND0133,ACC0591,874
IND0523,ACC0592,780
IND0359,ACC0593,676
IND0507,ACC0594,683
IND0364,ACC0595,732
IND0043,ACC0596,567
IND0006,ACC0597,547
IND0387,ACC0598,737
IND0433,ACC0599,541
IND0314,ACC0600,777