transactionId,accountId,transactionDay,category,transactionAmount
T0001,A27,1,GG,338.11
T0002,A5,1,BB,677.89
T0003,A32,1,DD,499.86
T0004,A42,1,DD,801.81
T0005,A19,1,BB,14.42
T0006,A46,1,FF,476.88
T0007,A29,1,FF,439.49
T0008,A49,1,DD,848.90
T0009,A47,1,BB,400.42
T00010,A23,1,BB,416.36
T00011,A45,1,GG,662.98
T00012,A2,1,DD,775.37
T00013,A33,1,BB,185.40
T00014,A44,1,CC,397.19
T00015,A43,1,CC,825.05
T00016,A16,1,BB,786.14
T00017,A33,1,DD,352.64
T00018,A14,1,DD,733.77
T00019,A40,1,FF,435.50
T00020,A32,1,EE,284.34
T00021,A25,1,AA,291.76
T00022,A35,1,EE,457.87
T00023,A17,1,AA,788.24
T00024,A34,1,AA,738.28
T00025,A21,1,GG,857.83
T00026,A46,1,FF,827.91
T00027,A35,1,FF,245.30
T00028,A48,1,AA,193.57
T00029,A35,1,DD,756.32
T00030,A4,1,DD,485.44
T00031,A18,1,GG,379.86
T00032,A13,1,DD,996.67
T00033,A44,1,EE,882.63
T00034,A44,1,AA,949.92
T00035,A4,1,EE,732.07
T00036,A43,1,CC,546.37
T00037,A5,1,BB,495.22
T00038,A43,1,AA,393.46
T00039,A41,1,FF,181.65
T00040,A44,1,FF,139.55
T00041,A14,1,CC,351.16
T00042,A43,1,AA,886.73
T00043,A14,1,FF,191.18
T00044,A1,1,DD,227.64
T00045,A5,1,CC,183.10
T00046,A10,1,BB,557.57
T00047,A10,1,CC,423.94
T00048,A7,1,DD,650.23
T00049,A33,1,GG,146.46
T00050,A16,1,CC,353.66
T00051,A20,1,GG,490.24
T00052,A13,1,GG,662.13
T00053,A31,1,DD,115.88
T00054,A42,1,GG,350.65
T00055,A35,1,AA,826.10
T00056,A16,1,EE,820.45
T00057,A6,2,EE,959.67
T00058,A48,2,AA,797.19
T00059,A30,2,GG,958.29
T00060,A6,2,BB,47.89
T00061,A5,2,BB,171.30
T00062,A37,2,CC,338.21
T00063,A4,2,CC,659.49
T00064,A12,2,FF,438.88
T00065,A3,2,DD,486.81
T00066,A21,2,EE,107.90
T00067,A10,2,BB,747.62
T00068,A8,2,GG,624.81
T00069,A7,2,EE,367.00
T00070,A40,2,DD,633.84
T00071,A17,2,BB,533.15
T00072,A27,2,CC,764.79
T00073,A9,2,DD,473.30
T00074,A23,2,AA,743.51
T00075,A15,2,DD,168.31
T00076,A34,2,FF,478.41
T00077,A13,2,FF,516.34
T00078,A11,2,AA,914.89
T00079,A23,2,EE,402.15
T00080,A46,2,AA,286.84
T00081,A11,2,AA,106.01
T00082,A46,2,AA,762.15
T00083,A29,2,EE,495.34
T00084,A49,2,GG,378.71
T00085,A11,2,BB,481.88
T00086,A8,2,AA,598.28
T00087,A24,2,EE,298.56
T00088,A42,2,DD,767.11
T00089,A8,2,CC,253.09
T00090,A28,2,FF,265.70
T00091,A31,2,FF,748.48
T00092,A8,2,EE,154.29
T00093,A35,2,GG,526.40
T00094,A9,2,BB,676.48
T00095,A21,2,BB,285.11
T00096,A13,2,GG,70.19
T00097,A33,2,BB,51.39
T00098,A27,2,FF,753.42
T00099,A35,2,FF,944.66
T000100,A34,2,FF,101.51
T000101,A29,2,EE,261.75
T000102,A15,2,DD,713.60
T000103,A13,2,EE,131.47
T000104,A8,2,BB,277.48
T000105,A28,2,CC,341.52
T000106,A11,2,AA,885.56
T000107,A8,2,FF,323.22
T000108,A12,2,EE,928.86
T000109,A45,3,BB,695.21
T000110,A44,3,AA,501.71
T000111,A45,3,CC,213.21
T000112,A12,3,EE,586.62
T000113,A3,3,EE,450.64
T000114,A18,3,AA,157.28
T000115,A26,3,GG,43.57
T000116,A5,3,CC,736.50
T000117,A3,3,EE,873.58
T000118,A20,3,BB,877.24
T000119,A23,3,DD,133.42
T000120,A30,3,GG,496.14
T000121,A30,3,FF,822.84
T000122,A39,3,CC,982.64
T000123,A45,3,BB,855.74
T000124,A28,3,CC,530.93
T000125,A14,3,EE,624.94
T000126,A36,3,EE,197.62
T000127,A34,3,EE,567.00
T000128,A41,3,BB,775.15
T000129,A29,3,EE,997.18
T000130,A34,3,GG,688.78
T000131,A39,4,BB,243.39
T000132,A33,4,AA,774.80
T000133,A40,4,DD,897.97
T000134,A1,4,FF,977.98
T000135,A29,4,FF,827.53
T000136,A18,4,EE,718.32
T000137,A32,4,CC,433.43
T000138,A21,4,GG,920.24
T000139,A14,4,CC,539.61
T000140,A38,4,CC,471.95
T000141,A43,4,BB,199.06
T000142,A26,4,BB,188.06
T000143,A6,4,GG,656.90
T000144,A43,4,EE,185.87
T000145,A9,4,DD,685.45
T000146,A6,4,GG,953.46
T000147,A15,4,BB,515.35
T000148,A28,4,DD,287.55
T000149,A37,4,EE,626.96
T000150,A36,4,CC,709.33
T000151,A40,4,AA,737.53
T000152,A3,4,BB,928.88
T000153,A39,4,AA,422.17
T000154,A38,4,CC,421.39
T000155,A45,4,BB,940.41
T000156,A7,4,FF,203.34
T000157,A34,4,FF,5.16
T000158,A26,4,FF,452.14
T000159,A41,4,BB,427.26
T000160,A18,4,GG,699.63
T000161,A14,4,AA,796.33
T000162,A5,4,AA,948.31
T000163,A33,4,FF,617.25
T000164,A2,4,DD,208.19
T000165,A13,4,EE,611.90
T000166,A28,4,BB,633.11
T000167,A38,4,DD,216.92
T000168,A23,4,DD,647.12
T000169,A43,4,CC,660.77
T000170,A15,4,DD,194.77
T000171,A42,4,EE,387.29
T000172,A46,4,DD,523.63
T000173,A46,4,AA,7.82
T000174,A32,4,EE,712.70
T000175,A12,4,EE,410.50
T000176,A2,4,EE,497.80
T000177,A10,4,CC,132.46
T000178,A9,4,GG,812.73
T000179,A12,4,DD,610.00
T000180,A37,4,DD,864.68
T000181,A37,4,GG,461.32
T000182,A21,4,CC,492.85
T000183,A31,4,DD,528.04
T000184,A36,4,DD,21.42
T000185,A26,4,EE,4.12
T000186,A35,4,BB,810.77
T000187,A17,4,AA,614.56
T000188,A33,4,EE,235.73
T000189,A32,4,GG,471.48
T000190,A16,4,FF,874.84
T000191,A14,4,GG,931.16
T000192,A34,4,BB,282.00
T000193,A26,4,DD,503.58
T000194,A33,4,FF,829.56
T000195,A2,5,BB,624.25
T000196,A16,5,FF,761.67
T000197,A29,5,GG,888.75
T000198,A41,5,EE,777.29
T000199,A1,5,CC,171.19
T000200,A42,5,FF,174.04
T000201,A47,5,FF,900.67
T000202,A40,5,AA,827.40
T000203,A34,5,GG,653.37
T000204,A26,6,CC,54.12
T000205,A45,6,GG,133.23
T000206,A35,6,AA,714.33
T000207,A44,6,EE,560.05
T000208,A8,6,GG,743.80
T000209,A42,6,BB,461.91
T000210,A24,6,GG,675.99
T000211,A32,6,EE,877.00
T000212,A19,6,GG,612.81
T000213,A44,6,EE,10.59
T000214,A41,6,AA,533.87
T000215,A43,6,DD,463.71
T000216,A31,6,DD,795.81
T000217,A31,6,AA,252.74
T000218,A27,6,AA,166.29
T000219,A20,6,FF,973.22
T000220,A48,6,DD,762.14
T000221,A2,6,BB,625.73
T000222,A43,6,AA,816.13
T000223,A21,6,CC,818.33
T000224,A32,6,DD,284.47
T000225,A46,6,BB,287.48
T000226,A7,6,EE,924.59
T000227,A4,6,DD,938.17
T000228,A21,6,GG,622.90
T000229,A31,6,BB,893.98
T000230,A26,6,FF,432.20
T000231,A26,6,GG,369.08
T000232,A20,6,FF,990.85
T000233,A40,6,GG,526.90
T000234,A36,6,EE,738.68
T000235,A16,6,BB,873.61
T000236,A30,6,DD,619.14
T000237,A13,6,BB,150.04
T000238,A4,6,CC,762.86
T000239,A46,6,CC,131.60
T000240,A21,6,BB,984.67
T000241,A12,6,DD,223.49
T000242,A8,6,CC,794.25
T000243,A10,6,GG,247.24
T000244,A8,6,FF,20.18
T000245,A48,6,GG,354.58
T000246,A5,6,BB,77.52
T000247,A43,6,GG,576.07
T000248,A33,6,DD,371.34
T000249,A30,6,DD,114.33
T000250,A41,6,BB,321.38
T000251,A22,6,FF,125.64
T000252,A27,6,CC,17.78
T000253,A41,6,GG,398.44
T000254,A45,6,DD,573.27
T000255,A34,6,CC,34.02
T000256,A46,6,AA,824.25
T000257,A49,6,GG,961.67
T000258,A32,6,EE,151.20
T000259,A21,7,DD,879.83
T000260,A25,7,BB,838.50
T000261,A42,7,DD,4.52
T000262,A5,7,FF,574.18
T000263,A12,7,GG,827.76
T000264,A20,7,AA,402.18
T000265,A18,7,EE,941.14
T000266,A7,7,AA,682.74
T000267,A18,7,BB,863.59
T000268,A12,7,AA,391.18
T000269,A18,7,AA,727.33
T000270,A5,7,FF,390.70
T000271,A1,7,FF,622.43
T000272,A5,7,AA,151.88
T000273,A44,7,GG,377.61
T000274,A12,7,FF,759.91
T000275,A39,7,FF,564.29
T000276,A36,8,CC,949.59
T000277,A9,8,EE,550.18
T000278,A8,8,DD,339.16
T000279,A15,8,CC,500.73
T000280,A22,8,GG,995.78
T000281,A33,8,FF,328.74
T000282,A40,8,CC,958.65
T000283,A36,8,CC,726.54
T000284,A34,8,FF,370.23
T000285,A29,8,GG,580.05
T000286,A15,8,AA,421.58
T000287,A35,8,DD,260.38
T000288,A32,8,GG,404.86
T000289,A13,8,GG,516.13
T000290,A13,8,CC,784.17
T000291,A36,8,DD,948.33
T000292,A15,8,AA,345.28
T000293,A28,8,FF,340.07
T000294,A37,8,EE,165.48
T000295,A36,8,BB,434.10
T000296,A16,8,GG,356.74
T000297,A25,8,EE,104.19
T000298,A7,8,GG,278.49
T000299,A26,8,DD,249.97
T000300,A19,8,AA,190.74
T000301,A28,8,CC,159.73
T000302,A2,8,BB,123.92
T000303,A19,8,EE,532.33
T000304,A8,8,BB,78.81
T000305,A17,8,FF,826.62
T000306,A38,8,FF,537.98
T000307,A46,8,EE,115.60
T000308,A38,8,FF,669.70
T000309,A33,8,BB,162.66
T000310,A33,8,BB,535.72
T000311,A16,8,FF,8.63
T000312,A39,8,GG,76.62
T000313,A10,8,AA,960.56
T000314,A1,8,GG,641.15
T000315,A14,8,GG,507.37
T000316,A18,8,BB,350.73
T000317,A31,8,DD,352.16
T000318,A32,8,BB,645.75
T000319,A39,8,CC,447.67
T000320,A19,8,CC,947.38
T000321,A39,8,AA,648.41
T000322,A12,8,FF,486.56
T000323,A10,8,GG,352.30
T000324,A44,8,EE,1.51
T000325,A33,8,EE,294.28
T000326,A17,8,FF,185.48
T000327,A33,8,CC,475.89
T000328,A2,8,CC,478.62
T000329,A12,8,CC,67.27
T000330,A45,8,EE,40.93
T000331,A6,8,CC,1.80
T000332,A34,8,AA,517.58
T000333,A1,8,AA,898.64
T000334,A40,8,EE,513.60
T000335,A42,8,FF,894.86
T000336,A28,8,AA,532.01
T000337,A23,8,FF,946.09
T000338,A8,8,GG,497.34
T000339,A4,9,AA,163.78
T000340,A5,9,GG,886.19
T000341,A47,9,DD,796.90
T000342,A20,9,GG,916.87
T000343,A47,9,AA,537.26
T000344,A45,9,EE,212.34
T000345,A14,9,FF,930.43
T000346,A43,9,CC,843.61
T000347,A28,9,GG,807.54
T000348,A26,9,AA,685.36
T000349,A45,9,CC,818.82
T000350,A14,9,AA,571.02
T000351,A22,9,AA,345.52
T000352,A5,9,CC,821.64
T000353,A35,9,GG,294.89
T000354,A49,9,CC,340.89
T000355,A13,9,DD,541.16
T000356,A48,9,GG,618.16
T000357,A48,9,EE,66.05
T000358,A18,9,GG,661.97
T000359,A12,9,EE,173.13
T000360,A45,9,DD,98.49
T000361,A35,9,CC,503.21
T000362,A16,9,FF,412.34
T000363,A42,9,AA,961.68
T000364,A9,9,GG,581.97
T000365,A27,10,AA,83.54
T000366,A35,10,BB,167.01
T000367,A10,10,EE,808.56
T000368,A44,10,AA,242.44
T000369,A38,10,AA,116.02
T000370,A19,10,CC,441.98
T000371,A18,10,GG,477.88
T000372,A37,10,AA,773.09
T000373,A45,10,EE,628.63
T000374,A7,10,EE,796.32
T000375,A27,10,FF,721.92
T000376,A38,10,DD,223.63
T000377,A16,10,GG,546.21
T000378,A29,10,AA,983.69
T000379,A21,10,GG,105.70
T000380,A7,10,FF,326.39
T000381,A1,10,BB,537.73
T000382,A48,10,DD,594.52
T000383,A19,10,FF,34.22
T000384,A37,10,CC,877.54
T000385,A48,10,FF,162.03
T000386,A38,10,FF,880.45
T000387,A14,10,BB,736.36
T000388,A44,10,FF,990.11
T000389,A34,10,FF,190.78
T000390,A4,10,FF,702.40
T000391,A2,10,GG,209.25
T000392,A16,10,CC,284.90
T000393,A20,10,BB,237.76
T000394,A31,11,EE,793.57
T000395,A18,11,AA,377.09
T000396,A23,11,AA,335.92
T000397,A43,11,BB,73.21
T000398,A28,11,FF,778.89
T000399,A46,11,EE,968.23
T000400,A23,11,AA,936.75
T000401,A30,11,CC,252.14
T000402,A2,11,CC,642.27
T000403,A32,11,FF,864.56
T000404,A10,11,CC,4.02
T000405,A21,11,AA,935.71
T000406,A35,11,GG,583.08
T000407,A45,11,GG,926.99
T000408,A27,11,EE,184.70
T000409,A36,11,DD,34.32
T000410,A10,11,CC,453.24
T000411,A17,11,CC,550.95
T000412,A31,11,GG,483.42
T000413,A39,11,DD,51.55
T000414,A32,11,CC,216.41
T000415,A12,11,CC,455.89
T000416,A5,11,EE,476.28
T000417,A23,11,BB,257.62
T000418,A41,11,CC,120.49
T000419,A34,11,BB,462.63
T000420,A4,11,FF,927.50
T000421,A46,11,CC,71.58
T000422,A18,11,DD,525.11
T000423,A26,11,AA,262.38
T000424,A35,11,CC,875.48
T000425,A28,11,BB,780.81
T000426,A16,11,GG,575.27
T000427,A1,11,FF,431.59
T000428,A5,11,CC,504.49
T000429,A24,11,FF,976.95
T000430,A7,11,GG,162.69
T000431,A27,11,FF,196.18
T000432,A44,11,CC,368.48
T000433,A41,11,DD,337.13
T000434,A13,11,FF,866.21
T000435,A7,11,BB,699.44
T000436,A21,11,CC,783.38
T000437,A3,11,CC,629.35
T000438,A37,11,BB,812.64
T000439,A3,11,AA,777.15
T000440,A38,11,BB,454.44
T000441,A38,12,BB,70.94
T000442,A43,12,GG,649.53
T000443,A26,12,EE,494.12
T000444,A6,12,GG,654.74
T000445,A31,12,CC,419.07
T000446,A7,12,EE,71.23
T000447,A22,12,DD,945.83
T000448,A29,12,BB,521.56
T000449,A40,12,CC,422.05
T000450,A5,12,EE,589.55
T000451,A36,12,EE,79.24
T000452,A31,12,BB,286.86
T000453,A30,12,FF,510.59
T000454,A21,12,DD,490.60
T000455,A2,12,FF,536.59
T000456,A8,12,FF,508.23
T000457,A6,12,CC,857.62
T000458,A13,12,DD,169.16
T000459,A5,12,DD,776.08
T000460,A35,12,EE,616.97
T000461,A16,12,BB,185.88
T000462,A46,12,AA,281.83
T000463,A18,12,AA,973.46
T000464,A21,12,EE,349.34
T000465,A14,12,GG,951.87
T000466,A45,12,EE,410.64
T000467,A32,12,AA,458.25
T000468,A18,12,CC,877.68
T000469,A31,12,BB,785.37
T000470,A6,12,FF,178.29
T000471,A8,12,BB,688.66
T000472,A10,12,AA,707.74
T000473,A49,12,BB,313.26
T000474,A40,12,EE,6.53
T000475,A32,12,CC,19.02
T000476,A39,13,BB,658.47
T000477,A3,13,BB,746.53
T000478,A12,13,AA,959.10
T000479,A31,13,AA,763.68
T000480,A35,13,EE,490.92
T000481,A41,13,GG,859.51
T000482,A4,13,GG,360.62
T000483,A36,13,EE,311.25
T000484,A3,13,BB,2.45
T000485,A8,13,EE,240.13
T000486,A6,13,GG,132.76
T000487,A43,13,GG,293.12
T000488,A49,13,FF,652.76
T000489,A47,13,EE,940.13
T000490,A29,13,CC,39.24
T000491,A19,13,DD,60.08
T000492,A42,13,AA,38.18
T000493,A28,13,DD,904.17
T000494,A15,13,AA,280.93
T000495,A42,13,CC,971.14
T000496,A23,13,GG,780.47
T000497,A9,14,EE,806.70
T000498,A2,14,FF,132.56
T000499,A7,14,BB,248.18
T000500,A31,14,AA,646.75
T000501,A6,14,DD,175.47
T000502,A1,14,CC,562.36
T000503,A35,14,EE,400.58
